,,,,,,,,,,
1ª Giornata lega,,3ª Giornata serie a,,,,2ª Giornata lega,,4ª Giornata serie a,,
Hoffenheim,76,"79,5",EINTRACHT FRANCOFORTE,2-3,,Wolfsburg,66,"77,5",Hoffenheim,1-2
Union Berlino,76,"84,5",Wolfsburg,2-4,,Bayer 04 Leverkusen,"80,5","75,5",Red Bull Lipsia,3-2
Bayern Monaco,83,62,Borussia Mgladbach,3-0,,Borussia Mgladbach,68,"69,5",Friburgo,1-1
Friburgo,"70,5","70,5",Bayer 04 Leverkusen,1-1,,EINTRACHT FRANCOFORTE,73,"66,5",Bayern Monaco,2-1
Red Bull Lipsia,"71,5",70,Borussia Dortmund,1-1,,Borussia Dortmund,82,"80,5",Union Berlino,3-3
3ª Giornata lega,,5ª Giornata serie a,,,,4ª Giornata lega,,6ª Giornata serie a,,
Hoffenheim,84,67,Borussia Dortmund,4-1,,Wolfsburg,71,"71,5",EINTRACHT FRANCOFORTE,1-1
Union Berlino,"78,5","83,5",Bayer 04 Leverkusen,3-3,,Friburgo,"70,5","76,5",Union Berlino,1-2
Bayern Monaco,73,"65,5",Wolfsburg,2-0,,Bayer 04 Leverkusen,79,70,Hoffenheim,3-1
EINTRACHT FRANCOFORTE,75,70,Borussia Mgladbach,2-1,,Borussia Mgladbach,80,80,Red Bull Lipsia,3-3
Red Bull Lipsia,85,63,Friburgo,4-0,,Borussia Dortmund,73,"79,5",Bayern Monaco,2-3
5ª Giornata lega,,7ª Giornata serie a,,,,6ª Giornata lega,,8ª Giornata serie a,,
Hoffenheim,"71,5","74,5",Friburgo,1-2,,Friburgo,80,"66,5",Bayern Monaco,3-1
Union Berlino,"75,5","73,5",Red Bull Lipsia,2-2,,Bayer 04 Leverkusen,"60,5",69,EINTRACHT FRANCOFORTE,0-1
Wolfsburg,71,71,Borussia Mgladbach,1-1,,Borussia Mgladbach,"68,5","65,5",Union Berlino,1-0
Bayern Monaco,"77,5",74,Bayer 04 Leverkusen,2-2,,Borussia Dortmund,"80,5",82,Wolfsburg,3-3
EINTRACHT FRANCOFORTE,"67,5","80,5",Borussia Dortmund,1-3,,Red Bull Lipsia,81,64,Hoffenheim,3-0
7ª Giornata lega,,9ª Giornata serie a,,,,8ª Giornata lega,,10ª Giornata serie a,,
Hoffenheim,"79,5","76,5",Union Berlino,3-2,,Hoffenheim,"74,5",65,Borussia Mgladbach,2-0
Wolfsburg,76,74,Bayer 04 Leverkusen,2-2,,Union Berlino,"71,5",67,Bayern Monaco,1-1
Bayern Monaco,"85,5","64,5",Red Bull Lipsia,4-0,,Friburgo,"70,5","69,5",Wolfsburg,1-1
EINTRACHT FRANCOFORTE,"72,5",75,Friburgo,2-2,,Bayer 04 Leverkusen,"77,5",80,Borussia Dortmund,2-3
Borussia Dortmund,"79,5",65,Borussia Mgladbach,3-0,,Red Bull Lipsia,78,69,EINTRACHT FRANCOFORTE,3-1
9ª Giornata lega,,11ª Giornata serie a,,,,10ª Giornata lega,,12ª Giornata serie a,,
Wolfsburg,74,"73,5",Red Bull Lipsia,2-2,,Hoffenheim,"56,5",78,Wolfsburg,0-3
Bayern Monaco,66,62,Hoffenheim,1-0,,Bayern Monaco,"66,5",77,EINTRACHT FRANCOFORTE,1-2
Borussia Mgladbach,"72,5","79,5",Bayer 04 Leverkusen,2-3,,Bayer 04 Leverkusen,"71,5","78,5",Friburgo,1-3
EINTRACHT FRANCOFORTE,68,66,Union Berlino,1-1,,Borussia Mgladbach,72,"81,5",Borussia Dortmund,2-3
Borussia Dortmund,72,"63,5",Friburgo,2-0,,Red Bull Lipsia,77,76,Union Berlino,2-2
11ª Giornata lega,,13ª Giornata serie a,,,,12ª Giornata lega,,14ª Giornata serie a,,
Union Berlino,"77,5",64,Hoffenheim,2-0,,Bayern Monaco,74,68,Borussia Dortmund,2-1
Wolfsburg,"80,5","77,5",Bayern Monaco,3-2,,Bayer 04 Leverkusen,72,"73,5",Borussia Mgladbach,2-2
Friburgo,74,"68,5",Borussia Mgladbach,2-1,,EINTRACHT FRANCOFORTE,"66,5","61,5",Wolfsburg,1-0
EINTRACHT FRANCOFORTE,74,83,Bayer 04 Leverkusen,2-3,,Union Berlino,86,"74,5",Friburgo,4-2
Borussia Dortmund,80,78,Red Bull Lipsia,3-3,,Hoffenheim,77,"74,5",Red Bull Lipsia,2-2
13ª Giornata lega,,15ª Giornata serie a,,,,14ª Giornata lega,,16ª Giornata serie a,,
Red Bull Lipsia,"75,5","68,5",Bayern Monaco,2-1,,Bayer 04 Leverkusen,0,0,Bayern Monaco,-
Borussia Dortmund,80,"68,5",Bayer 04 Leverkusen,3-1,,Friburgo,0,0,Red Bull Lipsia,-
Friburgo,"68,5","64,5",Hoffenheim,1-0,,Union Berlino,0,0,Borussia Dortmund,-
Wolfsburg,"65,5",73,Union Berlino,0-2,,Borussia Mgladbach,0,0,Wolfsburg,-
Borussia Mgladbach,77,"85,5",EINTRACHT FRANCOFORTE,2-4,,EINTRACHT FRANCOFORTE,0,0,Hoffenheim,-
15ª Giornata lega,,17ª Giornata serie a,,,,16ª Giornata lega,,18ª Giornata serie a,,
