
1ª Giornata lega,,,26ª Giornata serie a,,,,2ª Giornata lega,,,27ª Giornata serie a,,
A,Liverpool Football Club,0,0,Napoli,-,,A,Parma,0,0,Liverpool Football Club,-
A,Villarreal,0,0,Parma,-,,A,Napoli,0,0,Villarreal,-
B,Arsenal,0,0,Osasuna,-,,B,Red Bull Lipsia,0,0,Arsenal,-
B,Udinese,0,0,Red Bull Lipsia,-,,B,Osasuna,0,0,Udinese,-
C,Union Berlino,0,0,Pisa SC 1909,-,,C,Chelsea,0,0,Union Berlino,-
C,Real Madrid,0,0,Chelsea,-,,C,Pisa SC 1909,0,0,Real Madrid,-
D,Manchester City,0,0,Futbol Club Barcelona,-,,D,Borussia Dortmund,0,0,Manchester City,-
D,fiorentina,0,0,Borussia Dortmund,-,,D,Futbol Club Barcelona,0,0,fiorentina,-
3ª Giornata lega,,,28ª Giornata serie a,,,,4ª Giornata lega,,,29ª Giornata serie a,,
A,Parma,0,0,Napoli,-,,A,Napoli,0,0,Liverpool Football Club,-
A,Villarreal,0,0,Liverpool Football Club,-,,A,Parma,0,0,Villarreal,-
B,Red Bull Lipsia,0,0,Osasuna,-,,B,Osasuna,0,0,Arsenal,-
B,Udinese,0,0,Arsenal,-,,B,Red Bull Lipsia,0,0,Udinese,-
C,Chelsea,0,0,Pisa SC 1909,-,,C,Pisa SC 1909,0,0,Union Berlino,-
C,Real Madrid,0,0,Union Berlino,-,,C,Chelsea,0,0,Real Madrid,-
D,Borussia Dortmund,0,0,Futbol Club Barcelona,-,,D,Futbol Club Barcelona,0,0,Manchester City,-
D,fiorentina,0,0,Manchester City,-,,D,Borussia Dortmund,0,0,fiorentina,-
5ª Giornata lega,,,30ª Giornata serie a,,,,6ª Giornata lega,,,31ª Giornata serie a,,
A,Liverpool Football Club,0,0,Parma,-,,A,Napoli,0,0,Parma,-
A,Villarreal,0,0,Napoli,-,,A,Liverpool Football Club,0,0,Villarreal,-
B,Arsenal,0,0,Red Bull Lipsia,-,,B,Osasuna,0,0,Red Bull Lipsia,-
B,Udinese,0,0,Osasuna,-,,B,Arsenal,0,0,Udinese,-
C,Union Berlino,0,0,Chelsea,-,,C,Pisa SC 1909,0,0,Chelsea,-
C,Real Madrid,0,0,Pisa SC 1909,-,,C,Union Berlino,0,0,Real Madrid,-
D,Manchester City,0,0,Borussia Dortmund,-,,D,Futbol Club Barcelona,0,0,Borussia Dortmund,-
D,fiorentina,0,0,Futbol Club Barcelona,-,,D,Manchester City,0,0,fiorentina,-

