Calendario Europa League,,,,,,,,,,,,
https://leghe.fantacalcio.it/fantamanager-2021,,,,,,,,,,,,
,,,,,,,,,,,,
Fase a Gironi,,,,,,,,,,,,
1ª Giornata lega,,,26ª Giornata serie a,,,,2ª Giornata lega,,,27ª Giornata serie a,,
A,Inter,0,0,Tottenham Hotspur,-,,A,Athletic Bilbao,0,0,Inter,-
A,Bayern Monaco,0,0,Athletic Bilbao,-,,A,Tottenham Hotspur,0,0,Bayern Monaco,-
B,Manchester United FC,0,0,Como 1907,-,,B,Wolfsburg,0,0,Manchester United FC,-
B,Valencia,0,0,Wolfsburg,-,,B,Como 1907,0,0,Valencia,-
C,As Roma,0,0,Deportivo La Coruna,-,,C,West Ham United,0,0,As Roma,-
C,EINTRACHT FRANCOFORTE,0,0,West Ham United,-,,C,Deportivo La Coruna,0,0,EINTRACHT FRANCOFORTE,-
D,Leicester City Football Club,0,0,Hoffenheim,-,,D,Bayer 04 Leverkusen,0,0,Leicester City Football Club,-
D,Sampdoria,0,0,Bayer 04 Leverkusen,-,,D,Hoffenheim,0,0,Sampdoria,-
3ª Giornata lega,,,28ª Giornata serie a,,,,4ª Giornata lega,,,29ª Giornata serie a,,
A,Athletic Bilbao,0,0,Tottenham Hotspur,-,,A,Tottenham Hotspur,0,0,Inter,-
A,Bayern Monaco,0,0,Inter,-,,A,Athletic Bilbao,0,0,Bayern Monaco,-
B,Wolfsburg,0,0,Como 1907,-,,B,Como 1907,0,0,Manchester United FC,-
B,Valencia,0,0,Manchester United FC,-,,B,Wolfsburg,0,0,Valencia,-
C,West Ham United,0,0,Deportivo La Coruna,-,,C,Deportivo La Coruna,0,0,As Roma,-
C,EINTRACHT FRANCOFORTE,0,0,As Roma,-,,C,West Ham United,0,0,EINTRACHT FRANCOFORTE,-
D,Bayer 04 Leverkusen,0,0,Hoffenheim,-,,D,Hoffenheim,0,0,Leicester City Football Club,-
D,Sampdoria,0,0,Leicester City Football Club,-,,D,Bayer 04 Leverkusen,0,0,Sampdoria,-
5ª Giornata lega,,,30ª Giornata serie a,,,,6ª Giornata lega,,,31ª Giornata serie a,,
A,Inter,0,0,Athletic Bilbao,-,,A,Tottenham Hotspur,0,0,Athletic Bilbao,-
A,Bayern Monaco,0,0,Tottenham Hotspur,-,,A,Inter,0,0,Bayern Monaco,-
B,Manchester United FC,0,0,Wolfsburg,-,,B,Como 1907,0,0,Wolfsburg,-
B,Valencia,0,0,Como 1907,-,,B,Manchester United FC,0,0,Valencia,-
C,As Roma,0,0,West Ham United,-,,C,Deportivo La Coruna,0,0,West Ham United,-
C,EINTRACHT FRANCOFORTE,0,0,Deportivo La Coruna,-,,C,As Roma,0,0,EINTRACHT FRANCOFORTE,-
D,Leicester City Football Club,0,0,Bayer 04 Leverkusen,-,,D,Hoffenheim,0,0,Bayer 04 Leverkusen,-
D,Sampdoria,0,0,Hoffenheim,-,,D,Leicester City Football Club,0,0,Sampdoria,-
