,,,,,,,,,,,,
Fase a Gironi,,,,,,,,,,,,
1ª Giornata lega,,,9ª Giornata serie a,,,,2ª Giornata lega,,,10ª Giornata serie a,,
A,Friburgo,77,"84,5",Futbol Club Barcelona,2-4,,A,Everton,64,86,Reggina Calcio 1914,0-4
A,Tottenham Hotspur,85,67,Everton,4-1,,A,Futbol Club Barcelona,"74,5",79,Tottenham Hotspur,2-3
A,Riposa Reggina Calcio 1914,,,,,,A,Riposa Friburgo,,,,
B,Udinese,"72,5",67,Siviglia,2-1,,B,Siviglia,"79,5",76,Red Bull Lipsia,3-2
B,Nottingham Forest,"77,5",74,Wolfsburg,2-2,,B,Wolfsburg,"71,5","77,5",Udinese,1-2
B,Riposa Red Bull Lipsia,,,,,,B,Riposa Nottingham Forest,,,,
C,Bayern Monaco,"85,5",89,Atletico Madrid,4-4,,C,Hoffenheim,"74,5",80,Pisa SC 1909,2-3
C,Liverpool Football Club,"80,5",78,Hoffenheim,3-3,,C,Atletico Madrid,"83,5","92,5",Liverpool Football Club,3-5
C,Riposa Pisa SC 1909,,,,,,C,Riposa Bayern Monaco,,,,
D,real betis balompie,67,82,Sampdoria,1-3,,D,Parma,71,65,Borussia Mgladbach,1-0
D,West Ham United,"70,5",75,Parma,1-2,,D,Sampdoria,67,65,West Ham United,1-0
D,Riposa Borussia Mgladbach,,,,,,D,Riposa real betis balompie,,,,
3ª Giornata lega,,,11ª Giornata serie a,,,,4ª Giornata lega,,,12ª Giornata serie a,,
A,Friburgo,"65,5",64,Everton,0-0,,A,Reggina Calcio 1914,"74,5",68,Futbol Club Barcelona,2-1
A,Reggina Calcio 1914,"73,5",74,Tottenham Hotspur,2-2,,A,Tottenham Hotspur,"65,5","78,5",Friburgo,0-3
A,Riposa Futbol Club Barcelona,,,,,,A,Riposa Everton,,,,
B,Nottingham Forest,68,"73,5",Red Bull Lipsia,1-2,,B,Nottingham Forest,81,81,Siviglia,3-3
B,Wolfsburg,74,"69,5",Siviglia,2-1,,B,Red Bull Lipsia,77,68,Udinese,2-1
B,Riposa Udinese,,,,,,B,Riposa Wolfsburg,,,,
C,Bayern Monaco,66,62,Hoffenheim,1-0,,C,Pisa SC 1909,72,"71,5",Atletico Madrid,2-1
C,Pisa SC 1909,"85,5","76,5",Liverpool Football Club,4-2,,C,Liverpool Football Club,82,64,Bayern Monaco,3-0
C,Riposa Atletico Madrid,,,,,,C,Riposa Hoffenheim,,,,
D,real betis balompie,"73,5",75,Parma,2-2,,D,Borussia Mgladbach,72,80,Sampdoria,2-3
D,Borussia Mgladbach,"72,5","67,5",West Ham United,2-1,,D,West Ham United,"77,5",75,real betis balompie,2-2
D,Riposa Sampdoria,,,,,,D,Riposa Parma,,,,
5ª Giornata lega,,,13ª Giornata serie a,,,,6ª Giornata lega,,,14ª Giornata serie a,,
A,Friburgo,74,68,Reggina Calcio 1914,2-1,,A,Futbol Club Barcelona,84,"74,5",Friburgo,4-2
A,Futbol Club Barcelona,"90,5","73,5",Everton,5-2,,A,Everton,"63,5","75,5",Tottenham Hotspur,0-2
A,Riposa Tottenham Hotspur,,,,,,A,Riposa Reggina Calcio 1914,,,,
B,Udinese,71,"82,5",Nottingham Forest,1-3,,B,Siviglia,"74,5","70,5",Udinese,2-1
