,,,,,,,,,,,,
1ª Giornata lega,,,20ª Giornata serie a,,,,2ª Giornata lega,,,21ª Giornata serie a,,
A,Red Bull Lipsia,0,0,Athletic Bilbao,-,,A,Manchester United FC,0,0,Red Bull Lipsia,-
A,Parma,0,0,Manchester United FC,-,,A,Athletic Bilbao,0,0,Parma,-
B,Udinese,0,0,Tottenham Hotspur,-,,B,Como 1907,0,0,Udinese,-
B,Real Madrid,0,0,Como 1907,-,,B,Tottenham Hotspur,0,0,Real Madrid,-
C,Futbol Club Barcelona,0,0,Bayer 04 Leverkusen,-,,C,As Roma,0,0,Futbol Club Barcelona,-
C,Liverpool Football Club,0,0,As Roma,-,,C,Bayer 04 Leverkusen,0,0,Liverpool Football Club,-
D,Pisa SC 1909,0,0,EINTRACHT FRANCOFORTE,-,,D,Manchester City,0,0,Pisa SC 1909,-
D,Sampdoria,0,0,Manchester City,-,,D,EINTRACHT FRANCOFORTE,0,0,Sampdoria,-
3ª Giornata lega,,,22ª Giornata serie a,,,,4ª Giornata lega,,,23ª Giornata serie a,,
A,Manchester United FC,0,0,Athletic Bilbao,-,,A,Athletic Bilbao,0,0,Red Bull Lipsia,-
A,Parma,0,0,Red Bull Lipsia,-,,A,Manchester United FC,0,0,Parma,-
B,Como 1907,0,0,Tottenham Hotspur,-,,B,Tottenham Hotspur,0,0,Udinese,-
B,Real Madrid,0,0,Udinese,-,,B,Como 1907,0,0,Real Madrid,-
C,As Roma,0,0,Bayer 04 Leverkusen,-,,C,Bayer 04 Leverkusen,0,0,Futbol Club Barcelona,-
C,Liverpool Football Club,0,0,Futbol Club Barcelona,-,,C,As Roma,0,0,Liverpool Football Club,-
D,Manchester City,0,0,EINTRACHT FRANCOFORTE,-,,D,EINTRACHT FRANCOFORTE,0,0,Pisa SC 1909,-
D,Sampdoria,0,0,Pisa SC 1909,-,,D,Manchester City,0,0,Sampdoria,-
5ª Giornata lega,,,24ª Giornata serie a,,,,6ª Giornata lega,,,25ª Giornata serie a,,
A,Red Bull Lipsia,0,0,Manchester United FC,-,,A,Athletic Bilbao,0,0,Manchester United FC,-
A,Parma,0,0,Athletic Bilbao,-,,A,Red Bull Lipsia,0,0,Parma,-
B,Udinese,0,0,Como 1907,-,,B,Tottenham Hotspur,0,0,Como 1907,-
B,Real Madrid,0,0,Tottenham Hotspur,-,,B,Udinese,0,0,Real Madrid,-
C,Futbol Club Barcelona,0,0,As Roma,-,,C,Bayer 04 Leverkusen,0,0,As Roma,-
C,Liverpool Football Club,0,0,Bayer 04 Leverkusen,-,,C,Futbol Club Barcelona,0,0,Liverpool Football Club,-
D,Pisa SC 1909,0,0,Manchester City,-,,D,EINTRACHT FRANCOFORTE,0,0,Manchester City,-
D,Sampdoria,0,0,EINTRACHT FRANCOFORTE,-,,D,Pisa SC 1909,0,0,Sampdoria,-
