
1ª Giornata lega,,1ª Giornata serie a,,,,2ª Giornata lega,,2ª Giornata serie a,,
Nottingham Forest,0,0,Arsenal,-,,Manchester City,0,0,Nottingham Forest,-
Liverpool Football Club,0,0,Manchester City,-,,Tottenham Hotspur,0,0,Everton,-
Chelsea,0,0,West Ham United,-,,West Ham United,0,0,Leicester City Football Club,-
Leicester City Football Club,0,0,Tottenham Hotspur,-,,Arsenal,0,0,Chelsea,-
Everton,0,0,Manchester United FC,-,,Manchester United FC,0,0,Liverpool Football Club,-
3ª Giornata lega,,3ª Giornata serie a,,,,4ª Giornata lega,,4ª Giornata serie a,,
Nottingham Forest,0,0,Manchester United FC,-,,Manchester City,0,0,Arsenal,-
Liverpool Football Club,0,0,Tottenham Hotspur,-,,Leicester City Football Club,0,0,Liverpool Football Club,-
Chelsea,0,0,Manchester City,-,,Tottenham Hotspur,0,0,Nottingham Forest,-
Arsenal,0,0,West Ham United,-,,West Ham United,0,0,Everton,-
Everton,0,0,Leicester City Football Club,-,,Manchester United FC,0,0,Chelsea,-
5ª Giornata lega,,5ª Giornata serie a,,,,6ª Giornata lega,,6ª Giornata serie a,,
Nottingham Forest,0,0,Leicester City Football Club,-,,Leicester City Football Club,0,0,Chelsea,-
Liverpool Football Club,0,0,Everton,-,,Tottenham Hotspur,0,0,Arsenal,-
Manchester City,0,0,West Ham United,-,,West Ham United,0,0,Liverpool Football Club,-
Chelsea,0,0,Tottenham Hotspur,-,,Manchester United FC,0,0,Manchester City,-
Arsenal,0,0,Manchester United FC,-,,Everton,0,0,Nottingham Forest,-
7ª Giornata lega,,7ª Giornata serie a,,,,8ª Giornata lega,,8ª Giornata serie a,,
Nottingham Forest,0,0,Liverpool Football Club,-,,Nottingham Forest,0,0,West Ham United,-
Manchester City,0,0,Tottenham Hotspur,-,,Liverpool Football Club,0,0,Chelsea,-
Chelsea,0,0,Everton,-,,Leicester City Football Club,0,0,Manchester City,-
Arsenal,0,0,Leicester City Football Club,-,,Tottenham Hotspur,0,0,Manchester United FC,-
Manchester United FC,0,0,West Ham United,-,,Everton,0,0,Arsenal,-
9ª Giornata lega,,9ª Giornata serie a,,,,10ª Giornata lega,,10ª Giornata serie a,,
Manchester City,0,0,Everton,-,,Arsenal,0,0,Nottingham Forest,-
Chelsea,0,0,Nottingham Forest,-,,Manchester City,0,0,Liverpool Football Club,-
West Ham United,0,0,Tottenham Hotspur,-,,West Ham United,0,0,Chelsea,-
Arsenal,0,0,Liverpool Football Club,-,,Tottenham Hotspur,0,0,Leicester City Football Club,-
Manchester United FC,0,0,Leicester City Football Club,-,,Manchester United FC,0,0,Everton,-
11ª Giornata lega,,11ª Giornata serie a,,,,12ª Giornata lega,,12ª Giornata serie a,,
Nottingham Forest,0,0,Manchester City,-,,Manchester United FC,0,0,Nottingham Forest,-
Everton,0,0,Tottenham Hotspur,-,,Tottenham Hotspur,0,0,Liverpool Football Club,-
Leicester City Football Club,0,0,West Ham United,-,,Manchester City,0,0,Chelsea,-
Chelsea,0,0,Arsenal,-,,West Ham United,0,0,Arsenal,-
Liverpool Football Club,0,0,Manchester United FC,-,,Leicester City Football Club,0,0,Everton,-
13ª Giornata lega,,13ª Giornata serie a,,,,14ª Giornata lega,,14ª Giornata serie a,,
Arsenal,0,0,Manchester City,-,,Leicester City Football Club,0,0,Nottingham Forest,-
Liverpool Football Club,0,0,Leicester City Football Club,-,,Everton,0,0,Liverpool Football Club,-
Nottingham Forest,0,0,Tottenham Hotspur,-,,West Ham United,0,0,Manchester City,-
Everton,0,0,West Ham United,-,,Tottenham Hotspur,0,0,Chelsea,-
Chelsea,0,0,Manchester United FC,-,,Manchester United FC,0,0,Arsenal,-
15ª Giornata lega,,15ª Giornata serie a,,,,16ª Giornata lega,,16ª Giornata serie a,,
Chelsea,0,0,Leicester City Football Club,-,,Liverpool Football Club,0,0,Nottingham Forest,-
Arsenal,0,0,Tottenham Hotspur,-,,Tottenham Hotspur,0,0,Manchester City,-
Liverpool Football Club,0,0,West Ham United,-,,Everton,0,0,Chelsea,-
Manchester City,0,0,Manchester United FC,-,,Leicester City Football Club,0,0,Arsenal,-
Nottingham Forest,0,0,Everton,-,,West Ham United,0,0,Manchester United FC,-
17ª Giornata lega,,17ª Giornata serie a,,,,18ª Giornata lega,,18ª Giornata serie a,,
West Ham United,0,0,Nottingham Forest,-,,Everton,0,0,Manchester City,-
Chelsea,0,0,Liverpool Football Club,-,,Nottingham Forest,0,0,Chelsea,-
Manchester City,0,0,Leicester City Football Club,-,,Tottenham Hotspur,0,0,West Ham United,-
Manchester United FC,0,0,Tottenham Hotspur,-,,Liverpool Football Club,0,0,Arsenal,-
Arsenal,0,0,Everton,-,,Leicester City Football Club,0,0,Manchester United FC,-
19ª Giornata lega,,19ª Giornata serie a,,,,20ª Giornata lega,,20ª Giornata serie a,,
Nottingham Forest,0,0,Arsenal,-,,Manchester City,0,0,Nottingham Forest,-
Liverpool Football Club,0,0,Manchester City,-,,Tottenham Hotspur,0,0,Everton,-
Chelsea,0,0,West Ham United,-,,West Ham United,0,0,Leicester City Football Club,-
Leicester City Football Club,0,0,Tottenham Hotspur,-,,Arsenal,0,0,Chelsea,-
Everton,0,0,Manchester United FC,-,,Manchester United FC,0,0,Liverpool Football Club,-
21ª Giornata lega,,21ª Giornata serie a,,,,22ª Giornata lega,,22ª Giornata serie a,,
Nottingham Forest,0,0,Manchester United FC,-,,Manchester City,0,0,Arsenal,-
Liverpool Football Club,0,0,Tottenham Hotspur,-,,Leicester City Football Club,0,0,Liverpool Football Club,-
Chelsea,0,0,Manchester City,-,,Tottenham Hotspur,0,0,Nottingham Forest,-
Arsenal,0,0,West Ham United,-,,West Ham United,0,0,Everton,-
Everton,0,0,Leicester City Football Club,-,,Manchester United FC,0,0,Chelsea,-
23ª Giornata lega,,23ª Giornata serie a,,,,24ª Giornata lega,,24ª Giornata serie a,,
Nottingham Forest,0,0,Leicester City Football Club,-,,Leicester City Football Club,0,0,Chelsea,-
Liverpool Football Club,0,0,Everton,-,,Tottenham Hotspur,0,0,Arsenal,-
Manchester City,0,0,West Ham United,-,,West Ham United,0,0,Liverpool Football Club,-
Chelsea,0,0,Tottenham Hotspur,-,,Manchester United FC,0,0,Manchester City,-
Arsenal,0,0,Manchester United FC,-,,Everton,0,0,Nottingham Forest,-
25ª Giornata lega,,25ª Giornata serie a,,,,26ª Giornata lega,,26ª Giornata serie a,,
Nottingham Forest,0,0,Liverpool Football Club,-,,Nottingham Forest,0,0,West Ham United,-
Manchester City,0,0,Tottenham Hotspur,-,,Liverpool Football Club,0,0,Chelsea,-
Chelsea,0,0,Everton,-,,Leicester City Football Club,0,0,Manchester City,-
Arsenal,0,0,Leicester City Football Club,-,,Tottenham Hotspur,0,0,Manchester United FC,-
Manchester United FC,0,0,West Ham United,-,,Everton,0,0,Arsenal,-
27ª Giornata lega,,27ª Giornata serie a,,,,28ª Giornata lega,,28ª Giornata serie a,,
Manchester City,0,0,Everton,-,,Arsenal,0,0,Nottingham Forest,-
Chelsea,0,0,Nottingham Forest,-,,Manchester City,0,0,Liverpool Football Club,-
West Ham United,0,0,Tottenham Hotspur,-,,West Ham United,0,0,Chelsea,-
Arsenal,0,0,Liverpool Football Club,-,,Tottenham Hotspur,0,0,Leicester City Football Club,-
Manchester United FC,0,0,Leicester City Football Club,-,,Manchester United FC,0,0,Everton,-
29ª Giornata lega,,29ª Giornata serie a,,,,30ª Giornata lega,,30ª Giornata serie a,,
Nottingham Forest,0,0,Manchester City,-,,Manchester United FC,0,0,Nottingham Forest,-
Everton,0,0,Tottenham Hotspur,-,,Tottenham Hotspur,0,0,Liverpool Football Club,-
Leicester City Football Club,0,0,West Ham United,-,,Manchester City,0,0,Chelsea,-
Chelsea,0,0,Arsenal,-,,West Ham United,0,0,Arsenal,-
Liverpool Football Club,0,0,Manchester United FC,-,,Leicester City Football Club,0,0,Everton,-
31ª Giornata lega,,31ª Giornata serie a,,,,32ª Giornata lega,,32ª Giornata serie a,,
Arsenal,0,0,Manchester City,-,,Leicester City Football Club,0,0,Nottingham Forest,-
Liverpool Football Club,0,0,Leicester City Football Club,-,,Everton,0,0,Liverpool Football Club,-
Nottingham Forest,0,0,Tottenham Hotspur,-,,West Ham United,0,0,Manchester City,-
Everton,0,0,West Ham United,-,,Tottenham Hotspur,0,0,Chelsea,-
Chelsea,0,0,Manchester United FC,-,,Manchester United FC,0,0,Arsenal,-
