,,,,,,,,,,
1ª Giornata lega,,1ª Giornata serie a,,,,2ª Giornata lega,,2ª Giornata serie a,,
Torino FC,0,0,Fiorentina,-,,AC Milan,0,0,Torino FC,-
Pisa SC 1909,0,0,AC Milan,-,,Udinese,0,0,Juventus,-
Roma,0,0,Napoli,-,,Napoli,0,0,Parma,-
Parma,0,0,Udinese,-,,Fiorentina,0,0,Roma,-
Juventus,0,0,Reggina Calcio 1914,-,,Reggina Calcio 1914,0,0,Pisa SC 1909,-
3ª Giornata lega,,3ª Giornata serie a,,,,4ª Giornata lega,,4ª Giornata serie a,,
Torino FC,0,0,Reggina Calcio 1914,-,,AC Milan,0,0,Fiorentina,-
Pisa SC 1909,0,0,Udinese,-,,Parma,0,0,Pisa SC 1909,-
Roma,0,0,AC Milan,-,,Udinese,0,0,Torino FC,-
Fiorentina,0,0,Napoli,-,,Napoli,0,0,Juventus,-
Juventus,0,0,Parma,-,,Reggina Calcio 1914,0,0,Roma,-
5ª Giornata lega,,5ª Giornata serie a,,,,6ª Giornata lega,,6ª Giornata serie a,,
Torino FC,0,0,Parma,-,,Parma,0,0,Roma,-
Pisa SC 1909,0,0,Juventus,-,,Udinese,0,0,Fiorentina,-
AC Milan,0,0,Napoli,-,,Napoli,0,0,Pisa SC 1909,-
Roma,0,0,Udinese,-,,Reggina Calcio 1914,0,0,AC Milan,-
Fiorentina,0,0,Reggina Calcio 1914,-,,Juventus,0,0,Torino FC,-
7ª Giornata lega,,7ª Giornata serie a,,,,8ª Giornata lega,,8ª Giornata serie a,,
Torino FC,0,0,Pisa SC 1909,-,,Torino FC,0,0,Napoli,-
AC Milan,0,0,Udinese,-,,Pisa SC 1909,0,0,Roma,-
Roma,0,0,Juventus,-,,Parma,0,0,AC Milan,-
Fiorentina,0,0,Parma,-,,Udinese,0,0,Reggina Calcio 1914,-
Reggina Calcio 1914,0,0,Napoli,-,,Juventus,0,0,Fiorentina,-
9ª Giornata lega,,9ª Giornata serie a,,,,10ª Giornata lega,,10ª Giornata serie a,,
AC Milan,0,0,Juventus,-,,Fiorentina,0,0,Torino FC,-
Roma,0,0,Torino FC,-,,AC Milan,0,0,Pisa SC 1909,-
Napoli,0,0,Udinese,-,,Napoli,0,0,Roma,-
Fiorentina,0,0,Pisa SC 1909,-,,Udinese,0,0,Parma,-
Reggina Calcio 1914,0,0,Parma,-,,Reggina Calcio 1914,0,0,Juventus,-
11ª Giornata lega,,11ª Giornata serie a,,,,12ª Giornata lega,,12ª Giornata serie a,,
Torino FC,0,0,AC Milan,-,,Reggina Calcio 1914,0,0,Torino FC,-
Juventus,0,0,Udinese,-,,Udinese,0,0,Pisa SC 1909,-
Parma,0,0,Napoli,-,,AC Milan,0,0,Roma,-
Roma,0,0,Fiorentina,-,,Napoli,0,0,Fiorentina,-
Pisa SC 1909,0,0,Reggina Calcio 1914,-,,Parma,0,0,Juventus,-
13ª Giornata lega,,13ª Giornata serie a,,,,14ª Giornata lega,,14ª Giornata serie a,,
Fiorentina,0,0,AC Milan,-,,Parma,0,0,Torino FC,-
Pisa SC 1909,0,0,Parma,-,,Juventus,0,0,Pisa SC 1909,-
Torino FC,0,0,Udinese,-,,Napoli,0,0,AC Milan,-
Juventus,0,0,Napoli,-,,Udinese,0,0,Roma,-
Roma,0,0,Reggina Calcio 1914,-,,Reggina Calcio 1914,0,0,Fiorentina,-
15ª Giornata lega,,15ª Giornata serie a,,,,16ª Giornata lega,,16ª Giornata serie a,,
Roma,0,0,Parma,-,,Pisa SC 1909,0,0,Torino FC,-
Fiorentina,0,0,Udinese,-,,Udinese,0,0,AC Milan,-
Pisa SC 1909,0,0,Napoli,-,,Juventus,0,0,Roma,-
AC Milan,0,0,Reggina Calcio 1914,-,,Parma,0,0,Fiorentina,-
Torino FC,0,0,Juventus,-,,Napoli,0,0,Reggina Calcio 1914,-
17ª Giornata lega,,17ª Giornata serie a,,,,18ª Giornata lega,,18ª Giornata serie a,,
Napoli,0,0,Torino FC,-,,Juventus,0,0,AC Milan,-
Roma,0,0,Pisa SC 1909,-,,Torino FC,0,0,Roma,-
AC Milan,0,0,Parma,-,,Udinese,0,0,Napoli,-
Reggina Calcio 1914,0,0,Udinese,-,,Pisa SC 1909,0,0,Fiorentina,-
Fiorentina,0,0,Juventus,-,,Parma,0,0,Reggina Calcio 1914,-
19ª Giornata lega,,19ª Giornata serie a,,,,20ª Giornata lega,,20ª Giornata serie a,,
Torino FC,0,0,Fiorentina,-,,AC Milan,0,0,Torino FC,-
Pisa SC 1909,0,0,AC Milan,-,,Udinese,0,0,Juventus,-
Roma,0,0,Napoli,-,,Napoli,0,0,Parma,-
Parma,0,0,Udinese,-,,Fiorentina,0,0,Roma,-
Juventus,0,0,Reggina Calcio 1914,-,,Reggina Calcio 1914,0,0,Pisa SC 1909,-
21ª Giornata lega,,21ª Giornata serie a,,,,22ª Giornata lega,,22ª Giornata serie a,,
Torino FC,0,0,Reggina Calcio 1914,-,,AC Milan,0,0,Fiorentina,-
Pisa SC 1909,0,0,Udinese,-,,Parma,0,0,Pisa SC 1909,-
Roma,0,0,AC Milan,-,,Udinese,0,0,Torino FC,-
Fiorentina,0,0,Napoli,-,,Napoli,0,0,Juventus,-
Juventus,0,0,Parma,-,,Reggina Calcio 1914,0,0,Roma,-
23ª Giornata lega,,23ª Giornata serie a,,,,24ª Giornata lega,,24ª Giornata serie a,,
Torino FC,0,0,Parma,-,,Parma,0,0,Roma,-
Pisa SC 1909,0,0,Juventus,-,,Udinese,0,0,Fiorentina,-
AC Milan,0,0,Napoli,-,,Napoli,0,0,Pisa SC 1909,-
Roma,0,0,Udinese,-,,Reggina Calcio 1914,0,0,AC Milan,-
Fiorentina,0,0,Reggina Calcio 1914,-,,Juventus,0,0,Torino FC,-
25ª Giornata lega,,25ª Giornata serie a,,,,26ª Giornata lega,,26ª Giornata serie a,,
Torino FC,0,0,Pisa SC 1909,-,,Torino FC,0,0,Napoli,-
AC Milan,0,0,Udinese,-,,Pisa SC 1909,0,0,Roma,-
Roma,0,0,Juventus,-,,Parma,0,0,AC Milan,-
Fiorentina,0,0,Parma,-,,Udinese,0,0,Reggina Calcio 1914,-
Reggina Calcio 1914,0,0,Napoli,-,,Juventus,0,0,Fiorentina,-
27ª Giornata lega,,27ª Giornata serie a,,,,28ª Giornata lega,,28ª Giornata serie a,,
AC Milan,0,0,Juventus,-,,Fiorentina,0,0,Torino FC,-
Roma,0,0,Torino FC,-,,AC Milan,0,0,Pisa SC 1909,-
Napoli,0,0,Udinese,-,,Napoli,0,0,Roma,-
Fiorentina,0,0,Pisa SC 1909,-,,Udinese,0,0,Parma,-
Reggina Calcio 1914,0,0,Parma,-,,Reggina Calcio 1914,0,0,Juventus,-
29ª Giornata lega,,29ª Giornata serie a,,,,30ª Giornata lega,,30ª Giornata serie a,,
Torino FC,0,0,AC Milan,-,,Reggina Calcio 1914,0,0,Torino FC,-
Juventus,0,0,Udinese,-,,Udinese,0,0,Pisa SC 1909,-
Parma,0,0,Napoli,-,,AC Milan,0,0,Roma,-
Roma,0,0,Fiorentina,-,,Napoli,0,0,Fiorentina,-
Pisa SC 1909,0,0,Reggina Calcio 1914,-,,Parma,0,0,Juventus,-
31ª Giornata lega,,31ª Giornata serie a,,,,32ª Giornata lega,,32ª Giornata serie a,,
Fiorentina,0,0,AC Milan,-,,Parma,0,0,Torino FC,-
Pisa SC 1909,0,0,Parma,-,,Juventus,0,0,Pisa SC 1909,-
Torino FC,0,0,Udinese,-,,Napoli,0,0,AC Milan,-
Juventus,0,0,Napoli,-,,Udinese,0,0,Roma,-
Roma,0,0,Reggina Calcio 1914,-,,Reggina Calcio 1914,0,0,Fiorentina,-
33ª Giornata lega,,33ª Giornata serie a,,,,34ª Giornata lega,,34ª Giornata serie a,,
Roma,0,0,Parma,-,,Pisa SC 1909,0,0,Torino FC,-
