Squadra_LFM,Id,Prezzo
$,$,$
Reggina Calcio 1914,7357,1
Reggina Calcio 1914,7211,16
Reggina Calcio 1914,6869,11
Reggina Calcio 1914,6680,19
Reggina Calcio 1914,6677,1
Reggina Calcio 1914,6646,1
Reggina Calcio 1914,6398,1
Reggina Calcio 1914,6380,53
Reggina Calcio 1914,6314,195
Reggina Calcio 1914,6206,1
Reggina Calcio 1914,6202,1
Reggina Calcio 1914,5862,1
Reggina Calcio 1914,5734,1
Reggina Calcio 1914,5685,1
Reggina Calcio 1914,5555,1
Reggina Calcio 1914,5544,390
Reggina Calcio 1914,5471,1
Reggina Calcio 1914,5320,6
Reggina Calcio 1914,5318,28
Reggina Calcio 1914,5022,1
Reggina Calcio 1914,4728,121
Reggina Calcio 1914,4665,1
Reggina Calcio 1914,4461,1
Reggina Calcio 1914,4137,9
Reggina Calcio 1914,2816,1
Reggina Calcio 1914,2678,31
Reggina Calcio 1914,2521,1
Reggina Calcio 1914,2517,0
Reggina Calcio 1914,788,1
Reggina Calcio 1914,787,1
Reggina Calcio 1914,632,1
Reggina Calcio 1914,309,1
Reggina Calcio 1914,294,1
Reggina Calcio 1914,218,1
Reggina Calcio 1914,158,1
$,$,$
Villarreal,7351,20
Villarreal,7347,40
Villarreal,7344,4
Villarreal,7342,1
Villarreal,7332,8
Villarreal,7212,11
Villarreal,7012,4
Villarreal,6984,23
Villarreal,6684,1
Villarreal,6575,76
Villarreal,6572,1
Villarreal,6549,1
Villarreal,6398,1
Villarreal,6294,1
Villarreal,6013,3
Villarreal,6001,11
Villarreal,5885,1
Villarreal,5841,1
Villarreal,5585,180
Villarreal,5544,416
Villarreal,5520,1
Villarreal,5427,40
Villarreal,4896,1
Villarreal,4871,1
Villarreal,4772,7
Villarreal,4734,1
Villarreal,4433,1
Villarreal,4317,1
Villarreal,2861,4
Villarreal,2848,1
Villarreal,2841,0
Villarreal,2816,1
Villarreal,2765,1
Villarreal,1933,1
Villarreal,574,2
$,$,$
Udinese,7332,1
Udinese,7223,61
Udinese,7125,19
Udinese,7071,206
Udinese,7017,58
Udinese,6986,27
Udinese,6815,20
Udinese,6572,38
Udinese,6496,23
Udinese,6218,1
Udinese,6159,7
Udinese,6046,1
Udinese,6039,60
Udinese,5876,1
Udinese,5858,18
Udinese,5833,1
Udinese,5672,3
Udinese,5559,13
Udinese,5526,16
Udinese,5514,1
Udinese,5453,7
Udinese,5422,5
Udinese,5319,35
Udinese,5116,1
Udinese,4976,1
Udinese,4947,1
Udinese,4923,1
Udinese,4896,1
Udinese,4686,14
Udinese,4433,1
Udinese,4371,187
Udinese,4360,14
Udinese,4349,1
Udinese,2765,10
Udinese,1976,6
$,$,$
Inter,7351,31
Inter,7162,39
Inter,7126,30
Inter,6916,18
Inter,6832,5
Inter,6766,1
Inter,6666,1
Inter,6643,1
Inter,6632,1
Inter,6631,4
Inter,6556,6
Inter,6549,1
Inter,6519,1
Inter,6274,6
Inter,6190,1
Inter,5992,1
Inter,5831,1
Inter,5823,1
Inter,5688,1
Inter,5637,86
Inter,5498,1
Inter,5273,28
Inter,4994,1
Inter,4890,1
Inter,4459,1
Inter,4378,1
Inter,4236,5
Inter,2499,61
Inter,2489,1
Inter,2134,1
Inter,2038,1
Inter,554,1
Inter,322,1
Inter,313,69
Inter,133,1
Inter,22,1
$,$,$
Valencia,7356,11
Valencia,7346,1
Valencia,7345,12
Valencia,7341,5
Valencia,7338,1
Valencia,7317,1
Valencia,7272,1
Valencia,7260,3
Valencia,7208,3
Valencia,7199,37
Valencia,7181,100
Valencia,7169,1
Valencia,7146,21
Valencia,7125,3
Valencia,7071,161
Valencia,7069,13
Valencia,6981,91
Valencia,6980,13
Valencia,6916,11
Valencia,6875,1
Valencia,6844,32
Valencia,6827,1
Valencia,6822,1
Valencia,6631,7
Valencia,6380,47
Valencia,6271,9
Valencia,6046,1
Valencia,5739,1
Valencia,5651,10
Valencia,5036,13
Valencia,4728,303
Valencia,4431,1
Valencia,2137,1
Valencia,2120,1
Valencia,4,1
$,$,$
As Roma,7313,38
As Roma,7253,8
As Roma,7219,34
As Roma,7203,17
As Roma,7199,113
As Roma,7012,7
As Roma,6981,11
As Roma,6966,1
As Roma,6642,18
As Roma,6552,69
As Roma,6001,6
As Roma,5840,1
As Roma,5761,57
As Roma,5687,1
As Roma,5678,1
As Roma,5578,1
As Roma,5500,1
As Roma,5449,8
As Roma,5301,10
As Roma,5131,6
As Roma,5036,13
As Roma,4657,8
As Roma,4427,1
As Roma,4359,1
As Roma,2841,1
As Roma,2839,1
As Roma,2832,61
As Roma,2788,1
As Roma,2766,1
As Roma,2428,1
As Roma,2296,1
As Roma,761,1
As Roma,530,1
As Roma,441,59
As Roma,152,1
$,$,$
Arsenal,7356,1
Arsenal,7349,2
Arsenal,7345,1
Arsenal,7332,5
Arsenal,7318,19
Arsenal,7219,50
Arsenal,7209,7
Arsenal,7183,8
Arsenal,7023,1
Arsenal,6956,1
Arsenal,6869,178
Arsenal,6684,1
Arsenal,6675,1
Arsenal,6672,4
Arsenal,6663,10
Arsenal,6662,54
Arsenal,6641,0
Arsenal,6631,2
Arsenal,6398,1
Arsenal,5995,1
Arsenal,5850,1
Arsenal,5739,1
Arsenal,5678,1
Arsenal,5620,1
Arsenal,5603,1
Arsenal,4973,1
Arsenal,4957,1
Arsenal,4665,1
Arsenal,4199,1
Arsenal,2764,1
Arsenal,2167,1
Arsenal,536,1
Arsenal,531,184
Arsenal,254,1
$,$,$
Napoli,7272,1
Napoli,7127,1
Napoli,6967,1
Napoli,6893,8
Napoli,6831,1
Napoli,6485,5
Napoli,6054,1
Napoli,5877,1
Napoli,5813,1
Napoli,5585,200
Napoli,5481,1
Napoli,5427,26
Napoli,5168,5
Napoli,4887,1
Napoli,4772,1
Napoli,4431,1
Napoli,4409,1
Napoli,4284,1
Napoli,4220,1
Napoli,4199,1
Napoli,2640,1
Napoli,2379,74
Napoli,2297,1
Napoli,2263,1
Napoli,2194,1
Napoli,2188,1
Napoli,2097,1
Napoli,2061,1
Napoli,1852,1
Napoli,827,1
Napoli,608,1
Napoli,536,1
Napoli,513,1
Napoli,4,1
$,$,$
Parma,7347,1
Parma,7337,1
Parma,7220,5
Parma,7208,1
Parma,7181,42
Parma,7155,5
Parma,7133,13
Parma,7069,5
Parma,7008,1
Parma,6984,1
Parma,6980,3
Parma,6956,1
Parma,6895,1
Parma,6867,12
Parma,6844,21
Parma,6822,1
Parma,6814,13
Parma,6015,6
Parma,5918,11
Parma,5885,1
Parma,5844,7
Parma,5800,1
Parma,5739,1
Parma,5735,6
Parma,5603,1
Parma,4486,22
Parma,4385,1
Parma,4159,22
Parma,2814,1
Parma,2764,1
Parma,2722,1
Parma,2606,42
Parma,572,1
Parma,460,1
Parma,333,7
$,$,$
Sampdoria,7128,3
Sampdoria,7014,2
Sampdoria,6875,1
Sampdoria,6675,1
Sampdoria,6660,3
Sampdoria,6575,22
Sampdoria,6211,1
Sampdoria,6164,88
Sampdoria,6151,8
Sampdoria,6125,1
Sampdoria,6060,77
Sampdoria,6052,420
Sampdoria,5998,1
Sampdoria,5851,17
Sampdoria,5841,1
Sampdoria,5812,6
Sampdoria,5792,1
Sampdoria,5674,6
Sampdoria,5589,1
Sampdoria,5506,5
Sampdoria,5455,21
Sampdoria,4973,31
Sampdoria,4807,10
Sampdoria,4374,3
Sampdoria,4317,1
Sampdoria,4210,1
Sampdoria,2528,5
Sampdoria,795,1
Sampdoria,779,1
Sampdoria,610,1
Sampdoria,505,3
Sampdoria,256,4
$,$,$
Como 1907,7316,45
Como 1907,7183,22
Como 1907,7132,9
Como 1907,6908,70
Como 1907,6813,1
Como 1907,6684,1
Como 1907,6505,1
Como 1907,6365,412
Como 1907,6252,1
Como 1907,6217,1
Como 1907,6191,1
Como 1907,6112,23
Como 1907,5750,5
Como 1907,5532,1
Como 1907,5527,1
Como 1907,5513,1
Como 1907,5010,1
Como 1907,4751,1
Como 1907,4510,1
Como 1907,4463,1
Como 1907,4312,1
Como 1907,4287,1
Como 1907,2815,0
Como 1907,2728,4
Como 1907,2724,1
Como 1907,2593,1
Como 1907,2529,1
Como 1907,2167,1
Como 1907,2137,1
Como 1907,2077,1
Como 1907,1870,1
Como 1907,770,1
Como 1907,479,1
Como 1907,188,1
$,$,$
Siviglia,7255,7
Siviglia,7209,6
Siviglia,7185,1
Siviglia,7162,72
Siviglia,7127,53
Siviglia,7001,10
Siviglia,6832,5
Siviglia,6815,6
Siviglia,6813,1
Siviglia,6717,21
Siviglia,6675,151
Siviglia,6663,1
Siviglia,6646,46
Siviglia,6629,1
Siviglia,6552,28
Siviglia,6462,13
Siviglia,6042,1
Siviglia,5685,1
Siviglia,5672,1
Siviglia,5455,18
Siviglia,5449,7
Siviglia,5301,6
Siviglia,5298,1
Siviglia,4461,1
Siviglia,4385,1
Siviglia,4349,9
Siviglia,4312,1
Siviglia,4210,1
Siviglia,2815,1
Siviglia,2678,30
Siviglia,2531,65
Siviglia,2499,52
Siviglia,2188,1
Siviglia,1870,1
Siviglia,788,1
$,$,$
Pisa SC 1909,7356,1
Pisa SC 1909,7349,11
Pisa SC 1909,7341,2
Pisa SC 1909,7314,73
Pisa SC 1909,7252,13
Pisa SC 1909,7212,8
Pisa SC 1909,7146,7
Pisa SC 1909,7143,9
Pisa SC 1909,7131,5
Pisa SC 1909,7129,45
Pisa SC 1909,7070,49
Pisa SC 1909,6989,4
Pisa SC 1909,6884,1
Pisa SC 1909,6842,1
Pisa SC 1909,6809,1
Pisa SC 1909,6717,8
Pisa SC 1909,6672,1
Pisa SC 1909,6663,1
Pisa SC 1909,6462,1
Pisa SC 1909,6434,1
Pisa SC 1909,6010,1
Pisa SC 1909,5995,1
Pisa SC 1909,5888,1
Pisa SC 1909,5562,1
Pisa SC 1909,5520,1
Pisa SC 1909,4871,1
Pisa SC 1909,4777,1
Pisa SC 1909,4734,1
Pisa SC 1909,4436,1
Pisa SC 1909,4401,1
Pisa SC 1909,2120,1
Pisa SC 1909,543,1
Pisa SC 1909,531,365
Pisa SC 1909,393,1
$,$,$
Atletico Madrid,7349,19
Atletico Madrid,7318,8
Atletico Madrid,7261,1
Atletico Madrid,7219,17
Atletico Madrid,7126,41
Atletico Madrid,7070,49
Atletico Madrid,7023,1
Atletico Madrid,7017,1
Atletico Madrid,6966,1
Atletico Madrid,6956,1
Atletico Madrid,6908,52
Atletico Madrid,6869,26
Atletico Madrid,6809,16
Atletico Madrid,6660,15
Atletico Madrid,6632,1
Atletico Madrid,6435,1
Atletico Madrid,6202,1
Atletico Madrid,5800,1
Atletico Madrid,5792,1
Atletico Madrid,5750,6
Atletico Madrid,5687,1
Atletico Madrid,5678,1
Atletico Madrid,5603,1
Atletico Madrid,5273,100
Atletico Madrid,4947,50
Atletico Madrid,4751,1
Atletico Madrid,4436,1
Atletico Madrid,2809,1
Atletico Madrid,2194,1
Atletico Madrid,2170,1
Atletico Madrid,827,1
Atletico Madrid,531,187
Atletico Madrid,530,1
Atletico Madrid,309,1
$,$,$
fiorentina,7329,3
fiorentina,7317,1
fiorentina,7276,1
fiorentina,7213,1
fiorentina,7023,1
fiorentina,6957,1
fiorentina,6836,120
fiorentina,6669,1
fiorentina,6664,1
fiorentina,6641,1
fiorentina,6495,1
fiorentina,6439,1
fiorentina,6435,1
fiorentina,6424,1
fiorentina,6243,1
fiorentina,6024,1
fiorentina,6013,1
fiorentina,5850,1
fiorentina,5835,1
fiorentina,5791,1
fiorentina,5298,1
fiorentina,5119,1
fiorentina,4957,1
fiorentina,4892,1
fiorentina,4479,1
fiorentina,4465,1
fiorentina,4364,1
fiorentina,2848,1
fiorentina,2531,1
fiorentina,2525,1
fiorentina,2423,1
fiorentina,2170,1
fiorentina,2160,1
fiorentina,1933,1
fiorentina,254,1
$,$,$
Athletic Bilbao,7172,1
Athletic Bilbao,7133,25
Athletic Bilbao,7018,4
Athletic Bilbao,6680,7
Athletic Bilbao,6672,0
Athletic Bilbao,6485,7
Athletic Bilbao,6365,346
Athletic Bilbao,6314,13
Athletic Bilbao,6159,1
Athletic Bilbao,6039,10
Athletic Bilbao,5858,12
Athletic Bilbao,5784,5
Athletic Bilbao,5674,13
Athletic Bilbao,5637,1
Athletic Bilbao,5514,1
Athletic Bilbao,5336,63
Athletic Bilbao,5318,31
Athletic Bilbao,5010,1
Athletic Bilbao,4870,12
Athletic Bilbao,4807,6
Athletic Bilbao,4463,1
Athletic Bilbao,4401,10
Athletic Bilbao,4378,13
Athletic Bilbao,4287,1
Athletic Bilbao,2722,1
Athletic Bilbao,2593,1
Athletic Bilbao,2061,1
Athletic Bilbao,1852,1
Athletic Bilbao,787,8
Athletic Bilbao,608,1
Athletic Bilbao,536,50
Athletic Bilbao,333,1
Athletic Bilbao,254,1
Athletic Bilbao,133,1
Athletic Bilbao,22,1
$,$,$
Liverpool Football Club,7252,35
Liverpool Football Club,7220,6
Liverpool Football Club,7068,45
Liverpool Football Club,7036,3
Liverpool Football Club,6984,0
Liverpool Football Club,6884,1
Liverpool Football Club,6717,20
Liverpool Football Club,6642,1
Liverpool Football Club,6572,1
Liverpool Football Club,6434,1
Liverpool Football Club,6206,1
Liverpool Football Club,6042,1
Liverpool Football Club,5877,1
Liverpool Football Club,5833,1
Liverpool Football Club,5823,1
Liverpool Football Club,5750,7
Liverpool Football Club,5562,1
Liverpool Football Club,5455,9
Liverpool Football Club,4892,1
Liverpool Football Club,4807,12
Liverpool Football Club,4734,1
Liverpool Football Club,4728,97
Liverpool Football Club,4657,9
Liverpool Football Club,4510,1
Liverpool Football Club,4479,25
Liverpool Football Club,4364,1
Liverpool Football Club,4312,1
Liverpool Football Club,2848,1
Liverpool Football Club,2839,10
Liverpool Football Club,2815,1
Liverpool Football Club,2766,30
Liverpool Football Club,2531,59
Liverpool Football Club,2038,1
Liverpool Football Club,513,1
Liverpool Football Club,218,0
$,$,$
Deportivo La Coruna,7312,1
Deportivo La Coruna,7252,96
Deportivo La Coruna,7223,1
Deportivo La Coruna,7220,10
Deportivo La Coruna,7155,5
Deportivo La Coruna,7129,51
Deportivo La Coruna,6831,1
Deportivo La Coruna,6814,11
Deportivo La Coruna,6642,1
Deportivo La Coruna,6641,8
Deportivo La Coruna,6519,1
Deportivo La Coruna,6481,1
Deportivo La Coruna,6252,1
Deportivo La Coruna,5992,1
Deportivo La Coruna,5888,1
Deportivo La Coruna,5877,1
Deportivo La Coruna,5851,10
Deportivo La Coruna,5820,6
Deportivo La Coruna,5813,1
Deportivo La Coruna,5578,1
Deportivo La Coruna,5500,1
Deportivo La Coruna,4892,1
Deportivo La Coruna,4887,1
Deportivo La Coruna,4686,1
Deportivo La Coruna,4371,134
Deportivo La Coruna,4359,1
Deportivo La Coruna,4199,1
Deportivo La Coruna,2814,1
Deportivo La Coruna,2521,1
Deportivo La Coruna,2263,1
Deportivo La Coruna,2038,1
Deportivo La Coruna,632,1
Deportivo La Coruna,460,1
Deportivo La Coruna,313,80
Deportivo La Coruna,152,67
$,$,$
Borussia Dortmund,7316,12
Borussia Dortmund,7175,22
Borussia Dortmund,7155,18
Borussia Dortmund,7008,1
Borussia Dortmund,6989,7
Borussia Dortmund,6984,16
Borussia Dortmund,6893,10
Borussia Dortmund,6844,39
Borussia Dortmund,6831,14
Borussia Dortmund,6717,42
Borussia Dortmund,6666,1
Borussia Dortmund,6642,1
Borussia Dortmund,6572,1
Borussia Dortmund,6495,1
Borussia Dortmund,5841,1
Borussia Dortmund,5578,1
Borussia Dortmund,5455,15
Borussia Dortmund,5422,16
Borussia Dortmund,5318,38
Borussia Dortmund,5307,4
Borussia Dortmund,5010,1
Borussia Dortmund,4890,1
Borussia Dortmund,4777,1
Borussia Dortmund,4510,1
Borussia Dortmund,4463,1
Borussia Dortmund,4317,1
Borussia Dortmund,4287,12
Borussia Dortmund,2788,1
Borussia Dortmund,2401,1
Borussia Dortmund,2160,1
Borussia Dortmund,2137,1
Borussia Dortmund,2134,1
Borussia Dortmund,1870,1
Borussia Dortmund,441,22
Borussia Dortmund,22,18
$,$,$
Manchester United FC,7351,70
Manchester United FC,7344,2
Manchester United FC,7316,67
Manchester United FC,7272,4
Manchester United FC,7208,3
Manchester United FC,7181,66
Manchester United FC,7146,9
Manchester United FC,7143,38
Manchester United FC,7139,4
Manchester United FC,7133,40
Manchester United FC,7132,15
Manchester United FC,7070,51
Manchester United FC,7017,1
Manchester United FC,6893,1
Manchester United FC,6867,1
Manchester United FC,6814,46
Manchester United FC,6680,1
Manchester United FC,6125,1
Manchester United FC,5876,1
Manchester United FC,5841,1
Manchester United FC,5820,7
Manchester United FC,5687,1
Manchester United FC,5559,1
Manchester United FC,5422,1
Manchester United FC,4871,1
Manchester United FC,4870,1
Manchester United FC,4686,1
Manchester United FC,4502,1
Manchester United FC,4433,1
Manchester United FC,4374,5
Manchester United FC,2606,63
Manchester United FC,2499,30
Manchester United FC,2097,1
Manchester United FC,2077,1
Manchester United FC,152,57
$,$,$
Osasuna,7353,5
Osasuna,7175,27
Osasuna,6836,2
Osasuna,6677,3
Osasuna,6217,1
Osasuna,6206,1
Osasuna,6190,1
Osasuna,6164,12
Osasuna,6151,8
Osasuna,6060,67
Osasuna,6052,376
Osasuna,6047,1
Osasuna,5998,1
Osasuna,5876,1
Osasuna,5862,1
Osasuna,5833,1
Osasuna,5823,20
Osasuna,5812,1
Osasuna,5562,1
Osasuna,5515,6
Osasuna,5422,1
