Squadra,Lega,Crediti,PIN
Arsenal,Premier League,100,4821
As Roma,Serie A,276,7304
Athletic Bilbao,Liga BBVA,113,1592
Atletico Madrid,Liga BBVA,162,6288
Bayer 04 Leverkusen,Bundesliga,158,3415
Bayern Monaco,Bundesliga,153,8820
Borussia Dortmund,Bundesliga,196,5167
Borussia Mgladbach,Bundesliga,235,2934
Chelsea,Premier League,292,7741
Como 1907,Serie A,101,1056
Deportivo La Coruna,Liga BBVA,221,9382
EINTRACHT FRANCOFORTE,Bundesliga,149,4270
Everton,Premier League,101,6109
Friburgo,Bundesliga,143,2583
Futbol Club Barcelona,Liga BBVA,159,3944
Hoffenheim,Bundesliga,275,8021
Inter,Serie A,203,5567
Leicester City Football Club,Premier League,374,1490
Liverpool Football Club,Premier League,141,6632
Manchester City,Premier League,127,2718
Manchester United FC,Premier League,210,4450
Napoli,Serie A,167,8193
Nottingham Forest,Premier League,261,3376
Osasuna,Liga BBVA,100,5029
Parma,Serie A,641,1184
Pisa SC 1909,Serie A,161,7655
Real Madrid,Liga BBVA,105,9012
Red Bull Lipsia,Bundesliga,100,3847
Reggina Calcio 1914,Serie A,118,6421
Sampdoria,Serie A,394,2298
Siviglia,Liga BBVA,188,5730
Tottenham Hotspur,Premier League,259,8416
Udinese,Serie A,277,1933
Union Berlino,Bundesliga,284,3381
Valencia,Liga BBVA,189,4702
Villarreal,Liga BBVA,442,3154
West Ham United,Premier League,310,9560
Wolfsburg,Bundesliga,178,1327
fiorentina,Serie A,340,6088
real betis balompie,Liga BBVA,195,7251
