Id,R,Nome,Squadra,Qt.I,FVM
5841,P,Svilar,Roma,19,90
4431,P,Carnesecchi,Atalanta,16,56
5116,P,Martinez Jo.,Inter,16,63
4964,P,Vicario,Juventus,16,62
6966,P,Butez,Como,15,47
4312,P,Maignan,Milan,14,51
4360,P,Caprile,Cagliari,11,25
6482,P,Mandas,Lazio,11,35
133,P,Skorupski,Bologna,10,28
2521,P,De Gea,Fiorentina,10,24
572,P,Meret,Napoli,10,45
6534,P,Perri,Torino,9,17
2134,P,Falcone,Lecce,8,24
6462,P,Okoye,Udinese,8,26
6344,P,Sanchez Ro.,Como,8,15
7332,P,Bijlow,Genoa,7,12
6415,P,Palmisani,Frosinone,6,13
7411,P,Daffara,Parma,6,5
4236,P,Muric,Sassuolo,6,14
2170,P,Milinkovic-Savic V.,Napoli,5,10
6248,P,Stankovic F.,Venezia,5,9
4485,P,Thiam,Monza,4,4
6662,P,Corvi,Parma,3,10
7172,P,Pessina Mas.,Bologna,2,1
4,P,Sportiello,Atalanta,1,1
7533,P,Happonen,Bologna,1,1
6650,P,Sherri,Cagliari,1,1
7301,P,Tornqvist,Monza,1,3
2809,P,Vigorito,Como,1,1
6403,P,Christensen O.,Fiorentina,1,1
158,P,Lezzerini,Fiorentina,1,1
7463,P,Desplanches,Frosinone,1,1
7466,P,Lolic,Frosinone,1,1
219,P,Sommariva,Genoa,1,1
6569,P,Stolz,Genoa,1,1
1926,P,Di Gennaro,Inter,1,1
2814,P,Provedel,Inter,1,5
1930,P,Pinsoglio,Juventus,1,1
7337,P,Motta,Lazio,1,1
7534,P,Renzetti,Lazio,1,1
2815,P,Terracciano,Milan,1,1
6813,P,Torriani,Milan,1,1
7475,P,Strajnar,Monza,1,1
2845,P,Contini,Napoli,1,1
7048,P,De Marzi,Roma,1,1
610,P,Gollini,Roma,1,1
4518,P,Russo A.,Sassuolo,1,1
4867,P,Turati,Sassuolo,1,1
7457,P,Mascardi,Torino,1,1
7363,P,Siviero,Torino,1,1
543,P,Padelli,Udinese,1,1
6671,P,Grandi,Venezia,1,1
7531,P,Pozzi,Venezia,1,1
2127,P,Satalino,Sassuolo,1,1
7557,P,Penev,Lecce,1,1
7560,P,Pisseri,Frosinone,1,1
3,P,Radunovic,Cagliari,1,1
4957,P,Montip ,Venezia,1,1
4468,P,Bleve,Lecce,1,1
