Acquirente,Proprietario,Id,Nome,Costo,Stato,Orario
Chelsea,Liverpool Football Club,2766,Zaniolo,180,APPROVATO_AUTO,2026-08-10 22:00:12
FiorentinaT,Roma,6060,Laurient,80,APPROVATO_AUTO,2026-08-10 22:00:15
FC Koln,Borussia Dortmund,4510,Leao,90,APPROVATO_AUTO,2026-08-10 22:00:24
West Ham United,Manchester City,2061,Simeone,100,APPROVATO_AUTO,2026-08-10 22:00:26
FC Koln,Bayern Monaco,632,Zaccagni,150,APPROVATO_AUTO,2026-08-10 22:02:09
Liverpool Football Club,Arsenal,2764,Martinez L.,410,APPROVATO_AUTO,2026-08-10 22:06:20
Arsenal,Leicester City Football Club,4777,McTominay,280,APPROVATO_AUTO,2026-08-10 22:11:43
Atletico Madrid,Real Madrid,5995,De Ketelaere,150,APPROVATO_AUTO,2026-08-10 22:21:41
Atletico Madrid,Real Madrid,4510,Leao,120,APPROVATO_AUTO,2026-08-10 22:21:52
Real Madrid,Valencia,7071,Esposito F.P.,200,APPROVATO_AUTO,2026-08-10 22:33:12
Futbol Club Barcelona,Atletico Madrid,2194,Calhanoglu,160,APPROVATO_AUTO,2026-08-11 12:46:32
Torino FC,Parma,4159,Akanji,100,APPROVATO_AUTO,2026-08-11 19:52:47
Nottingham Forest,Leicester City Football Club,7126,Baturina,180,APPROVATO_AUTO,2026-08-13 15:45:34
Tottenham Hotspur,Chelsea,2137,Scamacca,200,APPROVATO_AUTO,2026-08-13 17:50:13
Everton,Manchester City,2379,Rabiot,160,APPROVATO_AUTO,2026-08-24 07:51:32
AC Milan,FiorentinaT,6435,Krstovic,253,APPROVATO_AUTO,2026-08-24 15:47:21
FiorentinaT,Udinese,7017,Douvikas,350,APPROVATO_AUTO,2026-08-26 18:54:12
Valencia,Villarreal,5585,Malen,500,APPROVATO_AUTO,2026-08-27 06:26:10
Manchester City,Leicester City Football Club,5585,Malen,400,APPROVATO_AUTO,2026-08-27 19:36:48
Osasuna,Villarreal,4871,Thuram,350,APPROVATO_AUTO,2026-08-27 23:17:48
Real Madrid,Osasuna,2097,Kean,350,APPROVATO_AUTO,2026-08-28 00:14:00
Villarreal,Valencia,2137,Scamacca,200,APPROVATO_AUTO,2026-08-28 00:35:21
Valencia,Deportivo La Coruna,2038,Pinamonti,200,APPROVATO_AUTO,2026-08-28 11:56:39
Udinese,Napoli,6052,Hojlund,450,APPROVATO_AUTO,2026-08-30 23:34:15
Udinese,Napoli,6052,Hojlund,450,APPROVATO_AUTO,2026-08-30 23:35:09
Napoli,Roma,5585,Malen,550,APPROVATO_AUTO,2026-08-31 11:22:47
Napoli,Roma,5585,Malen,550,APPROVATO_AUTO,2026-08-31 11:22:54
Napoli,Roma,5585,Malen,550,APPROVATO_AUTO,2026-08-31 11:23:05
Roma,Parma,7181,Wesley,150,APPROVATO_AUTO,2026-08-31 17:32:13
