Squadra,Lega,Stadio
Arsenal,Premier League,60
As Roma,Serie A,100
Athletic Bilbao,Liga BBVA,100
Atletico Madrid,Liga BBVA,60
Bayer 04 Leverkusen,Bundesliga,60
Bayern Monaco,Bundesliga,90
Borussia Dortmund,Bundesliga,80
Borussia Mgladbach,Bundesliga,80
Chelsea,Premier League,100
Como 1907,Serie A,80
Deportivo La Coruna,Liga BBVA,80
EINTRACHT FRANCOFORTE,Bundesliga,50
Everton,Premier League,60
Friburgo,Bundesliga,80
Futbol Club Barcelona,Liga BBVA,90
Hoffenheim,Bundesliga,60
Inter,Serie A,100
Leicester City Football Club,Premier League,80
Liverpool Football Club,Premier League,100
Manchester City,Premier League,60
Manchester United FC,Premier League,60
Napoli,Serie A,80
Nottingham Forest,Premier League,100
Osasuna,Liga BBVA,80
Parma,Serie A,100
Pisa SC 1909,Serie A,70
Real Madrid,Liga BBVA,80
Red Bull Lipsia,Bundesliga,80
Reggina Calcio 1914,Serie A,80
Sampdoria,Serie A,80
Siviglia,Liga BBVA,100
Tottenham Hotspur,Premier League,60
Udinese,Serie A,100
Union Berlino,Bundesliga,80
Valencia,Liga BBVA,60
Villarreal,Liga BBVA,100
West Ham United,Premier League,80
Wolfsburg,Bundesliga,70
fiorentina,Serie A,100
real betis balompie,Liga BBVA,60
