Giocatore,Squadra,Lega,Totale,Data,Tipo,Ruolo,Quota_FVM,Quota_Qt
Balogh,Sampdoria,Serie A,9,,STAR (*),D,7.0,2.0
Bravo,Villarreal,Liga BBVA,15,,STAR (*),A,12.0,3.0
Bravo,fiorentina,Serie A,15,,STAR (*),A,12.0,3.0
Bravo,Leicester City Football Club,Premier League,15,,STAR (*),A,12.0,3.0
Bravo,Borussia Mgladbach,Bundesliga,15,,STAR (*),A,12.0,3.0
Carboni V.,Inter,Serie A,18,,STAR (*),C,12.0,6.0
Carboni V.,Deportivo La Coruna,Liga BBVA,18,,STAR (*),C,12.0,6.0
Carboni V.,West Ham United,Premier League,18,,STAR (*),C,12.0,6.0
Carboni V.,Borussia Mgladbach,Bundesliga,18,,STAR (*),C,12.0,6.0
Castellanos,Villarreal,Liga BBVA,76,,STAR (*),A,65.0,11.0
Castellanos,As Roma,Serie A,76,,STAR (*),A,65.0,11.0
Castellanos,Hoffenheim,Bundesliga,76,,STAR (*),A,65.0,11.0
Castellanos,Tottenham Hotspur,Premier League,76,,STAR (*),A,65.0,11.0
De Luca,Sampdoria,Serie A,7,,STAR (*),A,3.0,4.0
Guendouzi,Villarreal,Liga BBVA,26,,STAR (*),C,20.0,6.0
Guendouzi,Sampdoria,Serie A,26,,STAR (*),C,20.0,6.0
Guendouzi,Borussia Mgladbach,Bundesliga,26,,STAR (*),C,20.0,6.0
Guendouzi,Chelsea,Premier League,26,,STAR (*),C,20.0,6.0
Hernani,fiorentina,Serie A,14,,STAR (*),C,10.0,4.0
Leoni,fiorentina,Serie A,17,,STAR (*),D,13.0,4.0
Martinelli T.,Deportivo La Coruna,Liga BBVA,2,,STAR (*),P,1.0,1.0
Martinelli T.,West Ham United,Premier League,2,,STAR (*),P,1.0,1.0
Palma,West Ham United,Premier League,5,,STAR (*),D,4.0,1.0
Viti,Udinese,Serie A,9,,STAR (*),D,7.0,2.0
Viti,Siviglia,Liga BBVA,9,,STAR (*),D,7.0,2.0
Viti,Bayer 04 Leverkusen,Bundesliga,9,,STAR (*),D,7.0,2.0
Viti,Manchester City,Premier League,9,,STAR (*),D,7.0,2.0
Bailey,Valencia,Liga BBVA,20,,STAR (*),C,12.0,8.0
Bailey,Sampdoria,Serie A,20,,STAR (*),C,12.0,8.0
Bailey,Liverpool Football Club,Premier League,20,,STAR (*),C,12.0,8.0
Bailey,Friburgo,Bundesliga,20,,STAR (*),C,12.0,8.0
Lovik,Villarreal,Liga BBVA,8,,STAR (*),D,7.0,1.0
Lovik,Borussia Mgladbach,Bundesliga,8,,STAR (*),D,7.0,1.0
Stanciu,Reggina Calcio 1914,Serie A,12,,STAR (*),C,8.0,4.0
Stanciu,Atletico Madrid,Liga BBVA,12,,STAR (*),C,8.0,4.0
Stanciu,Bayer 04 Leverkusen,Bundesliga,12,,STAR (*),C,8.0,4.0
Stanciu,Manchester City,Premier League,12,,STAR (*),C,8.0,4.0
Dzeko,Parma,Serie A,20,,STAR (*),A,12.0,8.0
Dzeko,Atletico Madrid,Liga BBVA,20,,STAR (*),A,12.0,8.0
Dzeko,West Ham United,Premier League,20,,STAR (*),A,12.0,8.0
Dzeko,Bayern Monaco,Bundesliga,20,,STAR (*),A,12.0,8.0
Posch,Parma,Serie A,10,,STAR (*),D,7.0,3.0
Posch,Borussia Dortmund,Bundesliga,10,,STAR (*),D,7.0,3.0
Posch,real betis balompie,Liga BBVA,10,,STAR (*),D,7.0,3.0
Lang,Inter,Serie A,31,,STAR (*),A,21.0,10.0
Lang,Deportivo La Coruna,Liga BBVA,31,,STAR (*),A,21.0,10.0
Lang,Borussia Dortmund,Bundesliga,31,,STAR (*),A,21.0,10.0
Lang,West Ham United,Premier League,31,,STAR (*),A,21.0,10.0
Lucca,Valencia,Liga BBVA,21,,STAR (*),A,13.0,8.0
Lucca,fiorentina,Serie A,21,,STAR (*),A,13.0,8.0
Lucca,Union Berlino,Bundesliga,21,,STAR (*),A,13.0,8.0
Lucca,Nottingham Forest,Premier League,21,,STAR (*),A,13.0,8.0
Sarmiento J.,Hoffenheim,Bundesliga,10,,STAR (*),C,8.0,2.0
Mandas,Parma,Serie A,3,,STAR (*),P,1.0,2.0
Mandas,Wolfsburg,Bundesliga,3,,STAR (*),P,1.0,2.0
Mandas,Futbol Club Barcelona,Liga BBVA,3,,STAR (*),P,1.0,2.0
Mandas,Manchester City,Premier League,3,,STAR (*),P,1.0,2.0
Vazquez,Pisa SC 1909,Serie A,20,,STAR (*),C,15.0,5.0
Vazquez,Nottingham Forest,Premier League,20,,STAR (*),C,15.0,5.0
Vazquez,Bayer 04 Leverkusen,Bundesliga,20,,STAR (*),C,15.0,5.0
Palacios T.,Real Madrid,Liga BBVA,2,,STAR (*),D,1.0,1.0
Di Pardo,Atletico Madrid,Liga BBVA,5,,STAR (*),D,4.0,1.0
Asllani,As Roma,Serie A,16,,STAR (*),C,14.0,2.0
Asllani,Wolfsburg,Bundesliga,16,,STAR (*),C,14.0,2.0
Asllani,West Ham United,Premier League,16,,STAR (*),C,14.0,2.0
Asllani,real betis balompie,Liga BBVA,16,,STAR (*),C,14.0,2.0
